	 ExtractedX	 ExtractedY
1630582737.396040	752	191
1630582737.429380	757	196
1630582737.462710	760	200
1630582737.496040	0	0
1630582737.529380	777	192
1630582737.562710	782	196
1630582737.596040	786	198
1630582737.629380	789	198
1630582737.662710	790	197
1630582737.696040	795	195
1630582737.729380	796	207
1630582737.762710	802	192
1630582737.796050	806	192
1630582737.829380	809	190
1630582737.862710	813	189
1630582737.896050	815	186
1630582737.929380	818	185
1630582737.962710	824	183
1630582737.996050	830	197
1630582738.029380	838	183
1630582738.062710	840	202
1630582738.096050	843	204
1630582738.129380	851	193
1630582738.162710	857	195
1630582738.196050	864	197
1630582738.229380	871	198
1630582738.262710	877	198
1630582738.296050	882	199
1630582738.329380	887	202
1630582738.362710	893	207
1630582738.396050	898	213
1630582738.429380	904	215
1630582738.462710	909	216
1630582738.496050	911	219
1630582738.529380	914	224
1630582738.562710	915	228
1630582738.596050	917	236
1630582738.629380	905	247
1630582738.662720	906	250
1630582738.696050	905	255
1630582738.729380	904	258
1630582738.762720	904	261
1630582738.796050	906	264
1630582738.829380	908	268
1630582738.862720	910	270
1630582738.896050	908	274
1630582738.929380	907	279
1630582738.962720	903	280
1630582738.996050	919	285
1630582739.029380	917	288
1630582739.062720	917	291
1630582739.096050	916	294
1630582739.129380	915	295
1630582739.162720	898	293
1630582739.196050	898	291
1630582739.229380	900	289
1630582739.262720	915	294
1630582739.296050	901	288
1630582739.329380	915	292
1630582739.362720	914	293
1630582739.396050	914	294
1630582739.429380	913	294
1630582739.462720	912	293
1630582739.496050	897	289
1630582739.529390	897	287
1630582739.562720	897	286
1630582739.596050	897	286
1630582739.629390	912	290
1630582739.662720	897	286
1630582739.696050	897	286
1630582739.729390	897	286
1630582739.762720	897	286
1630582739.796050	897	286
1630582739.829390	897	286
1630582739.862720	897	286
1630582739.896050	897	286
1630582739.929390	897	287
1630582739.962720	897	286
1630582739.996050	897	286
1630582740.029390	897	286
1630582740.062720	897	286
1630582740.096050	896	287
1630582740.129390	897	287
1630582740.162720	897	287
1630582740.196050	897	286
1630582740.229390	897	286
1630582740.262720	896	286
1630582740.296050	896	286
1630582740.329390	896	286
1630582740.362720	896	286
1630582740.396050	896	286
1630582740.429390	896	286
1630582740.462720	896	286
1630582740.496060	896	286
1630582740.529390	896	285
1630582740.562720	896	285
1630582740.596060	897	284
1630582740.629390	897	284
1630582740.662720	897	285
1630582740.696060	897	285
1630582740.729390	896	285
1630582740.762720	897	285
1630582740.796060	896	285
1630582740.829390	897	285
1630582740.862720	897	285
1630582740.896060	897	285
1630582740.929390	912	289
1630582740.962720	897	285
1630582740.996060	896	285
1630582741.029390	896	285
1630582741.062720	896	286
1630582741.096060	896	285
1630582741.129390	895	286
1630582741.162720	895	286
1630582741.196060	895	286
1630582741.229390	896	286
1630582741.262720	896	285
1630582741.296060	896	285
1630582741.329390	896	285
1630582741.362730	896	285
1630582741.396060	896	286
1630582741.429390	896	286
1630582741.462730	896	286
1630582741.496060	895	286
1630582741.529390	895	286
1630582741.562730	895	286
1630582741.596060	911	289
1630582741.629390	895	286
1630582741.662730	895	286
1630582741.696060	895	286
1630582741.729390	896	286
1630582741.762730	896	286
1630582741.796060	896	286
1630582741.829390	896	285
1630582741.862730	896	285
1630582741.896060	911	289
1630582741.929390	896	286
1630582741.962730	896	286
1630582741.996060	896	286
1630582742.029390	896	285
1630582742.062730	896	285
1630582742.096060	896	285
1630582742.129390	896	285
1630582742.162730	896	286
1630582742.196060	896	285
1630582742.229400	896	285
1630582742.262730	896	286
1630582742.296060	896	285
1630582742.329400	896	285
1630582742.362730	896	286
1630582742.396060	896	286
1630582742.429400	896	285
1630582742.462730	896	285
1630582742.496060	896	286
1630582742.529400	895	286
1630582742.562730	895	286
1630582742.596060	896	286
1630582742.629400	895	286
1630582742.662730	895	286
1630582742.696060	896	285
1630582742.729400	896	284
1630582742.762730	896	285
1630582742.796060	896	285
1630582742.829400	896	285
1630582742.862730	896	285
1630582742.896060	896	286
1630582742.929400	896	284
1630582742.962730	895	280
1630582742.996060	902	286
1630582743.029400	899	281
1630582743.062730	895	277
1630582743.096070	0	0
1630582743.129400	0	0
1630582743.162730	884	244
1630582743.196070	885	239
1630582743.229400	885	235
1630582743.262730	878	244
1630582743.296070	874	241
1630582743.329400	874	222
1630582743.362730	863	213
1630582743.396070	854	204
1630582743.429400	843	197
1630582743.462730	833	192
1630582743.496070	822	191
1630582743.529400	807	203
1630582743.562730	805	187
1630582743.596070	796	187
1630582743.629400	783	201
1630582743.662730	779	183
1630582743.696070	771	182
1630582743.729400	761	185
1630582743.762730	752	184
1630582743.796070	747	182
1630582743.829400	740	183
1630582743.862730	733	183
1630582743.896070	726	183
1630582743.929400	717	182
1630582743.962730	708	182
1630582743.996070	699	185
1630582744.029400	691	189
1630582744.062740	685	191
1630582744.096070	679	193
1630582744.129400	672	211
1630582744.162740	668	214
1630582744.196070	662	213
1630582744.229400	652	197
1630582744.262740	648	197
1630582744.296070	644	197
1630582744.329400	642	197
1630582744.362740	0	0
1630582744.396070	644	323
1630582744.429400	643	215
1630582744.462740	635	203
1630582744.496070	632	203
1630582744.529400	627	204
1630582744.562740	620	203
1630582744.596070	617	202
1630582744.629400	614	202
1630582744.662740	611	201
1630582744.696070	610	201
1630582744.729400	609	201
1630582744.762740	607	201
1630582744.796070	609	215
1630582744.829400	607	212
1630582744.862740	0	0
1630582744.896070	0	0
1630582744.929410	0	0
1630582744.962740	0	0
1630582744.996070	557	301
1630582745.029410	0	0
1630582745.062740	0	0
1630582745.096070	0	0
1630582745.129410	570	191
1630582745.162740	570	192
1630582745.196070	571	191
1630582745.229410	572	192
1630582745.262740	573	193
1630582745.296070	578	207
1630582745.329410	572	193
1630582745.362740	572	193
1630582745.396070	571	193
1630582745.429410	574	192
1630582745.462740	575	192
1630582745.496070	574	193
1630582745.529410	573	193
1630582745.562740	573	193
1630582745.596070	573	192
1630582745.629410	573	193
1630582745.662740	573	192
1630582745.696070	574	192
1630582745.729410	578	192
1630582745.762740	580	192
1630582745.796080	583	193
1630582745.829410	585	195
1630582745.862740	588	198
1630582745.896080	601	209
1630582745.929410	601	209
1630582745.962740	601	209
1630582745.996080	601	211
1630582746.029410	600	213
1630582746.062740	597	217
1630582746.096080	596	218
1630582746.129410	596	218
1630582746.162740	587	207
1630582746.196080	591	213
1630582746.229410	601	215
1630582746.262740	607	214
1630582746.296080	613	220
1630582746.329410	618	222
1630582746.362740	611	232
1630582746.396080	634	240
1630582746.429410	626	250
1630582746.462740	634	260
1630582746.496080	642	271
1630582746.529410	644	280
1630582746.562740	665	290
1630582746.596080	653	301
1630582746.629410	651	309
1630582746.662740	651	319
1630582746.696080	650	330
1630582746.729410	643	341
1630582746.762750	637	354
1630582746.796080	637	365
1630582746.829410	636	375
1630582746.862750	633	387
1630582746.896080	635	397
1630582746.929410	638	408
1630582746.962750	637	421
1630582746.996080	637	435
1630582747.029410	641	448
1630582747.062750	661	461
1630582747.096080	645	473
1630582747.129410	644	486
1630582747.162750	645	499
1630582747.196080	643	511
1630582747.229410	640	525
1630582747.262750	641	538
1630582747.296080	640	550
1630582747.329410	635	561
1630582747.362750	634	573
1630582747.396080	632	583
1630582747.429410	627	595
1630582747.462750	626	610
1630582747.496080	625	621
1630582747.529410	623	633
1630582747.562750	624	647
1630582747.596080	640	666
1630582747.629420	626	675
1630582747.662750	627	688
1630582747.696080	628	699
1630582747.729420	629	713
1630582747.762750	632	726
1630582747.796080	632	735
1630582747.829420	631	742
1630582747.862750	628	750
1630582747.896080	624	754
1630582747.929420	621	760
1630582747.962750	620	765
1630582747.996080	621	772
1630582748.029420	623	781
1630582748.062750	628	789
1630582748.096080	634	798
1630582748.129420	641	806
1630582748.162750	646	806
1630582748.196080	654	806
1630582748.229420	663	805
1630582748.262750	671	802
1630582748.296080	678	793
1630582748.329420	681	790
1630582748.362750	685	769
1630582748.396080	680	777
1630582748.429420	679	771
1630582748.462750	677	765
1630582748.496090	676	759
1630582748.529420	673	755
1630582748.562750	667	744
1630582748.596090	663	741
1630582748.629420	661	738
1630582748.662750	659	736
1630582748.696090	656	735
1630582748.729420	655	735
1630582748.762750	654	735
1630582748.796090	654	734
1630582748.829420	655	734
1630582748.862750	657	737
1630582748.896090	661	740
1630582748.929420	662	742
1630582748.962750	664	744
1630582748.996090	665	744
1630582749.029420	666	744
1630582749.062750	665	744
1630582749.096090	664	743
1630582749.129420	663	743
1630582749.162750	663	744
1630582749.196090	663	744
1630582749.229420	662	744
1630582749.262750	662	743
1630582749.296090	662	743
1630582749.329420	662	742
1630582749.362760	662	742
1630582749.396090	661	742
1630582749.429420	660	742
1630582749.462760	660	742
1630582749.496090	659	742
1630582749.529420	659	742
1630582749.562760	659	743
1630582749.596090	659	745
1630582749.629420	660	745
1630582749.662760	660	746
1630582749.696090	661	748
1630582749.729420	661	746
1630582749.762760	660	746
1630582749.796090	660	745
1630582749.829420	660	745
1630582749.862760	660	744
1630582749.896090	660	744
1630582749.929420	659	744
1630582749.962760	659	745
1630582749.996090	660	745
1630582750.029420	659	744
1630582750.062760	658	744
1630582750.096090	658	744
1630582750.129420	658	745
1630582750.162760	659	744
1630582750.196090	658	744
1630582750.229420	658	744
1630582750.262760	658	744
1630582750.296090	659	745
